Bin,Count
UDN_BG_A_C_Mayo011_pool_M_001 & 143,27
UDN_BG_A_C_Mayo011_pool_M_001 & 144,29
UDN_BG_A_C_Mayo011_pool_M_001 & 145,26
UDN_BG_A_C_Mayo011_pool_M_001 & 146,14
UDN_BG_A_C_Mayo011_pool_M_001 & 147,11
UDN_BG_A_C_Mayo011_pool_M_001 & 15,25
UDN_BG_A_C_Mayo011_pool_M_001 & 16,27
UDN_BG_A_C_Mayo011_pool_M_001 & 17,29
UDN_BG_A_C_Mayo011_pool_M_001 & 18,36
UDN_BG_A_C_Mayo011_pool_M_001 & 19,34
UDN_BG_A_C_Mayo011_pool_M_001 & 2,1
UDN_BG_A_C_Mayo011_pool_M_001 & 20,34
UDN_BG_A_C_Mayo011_pool_M_001 & 21,34
UDN_BG_A_C_Mayo011_pool_M_001 & 22,37
UDN_BG_A_C_Mayo011_pool_M_001 & 23,35
UDN_BG_A_C_Mayo011_pool_M_001 & 24,36
UDN_BG_A_C_Mayo011_pool_M_001 & 25,36
UDN_BG_A_C_Mayo011_pool_M_001 & 26,41
UDN_BG_A_C_Mayo011_pool_M_001 & 27,38
UDN_BG_A_C_Mayo011_pool_M_001 & 28,37
UDN_BG_A_C_Mayo011_pool_M_001 & 29,39
UDN_BG_A_C_Mayo011_pool_M_001 & 3,1
UDN_BG_A_C_Mayo011_pool_M_001 & 30,39
UDN_BG_A_C_Mayo011_pool_M_001 & 31,41
UDN_BG_A_C_Mayo011_pool_M_001 & 32,42
UDN_BG_A_C_Mayo011_pool_M_001 & 33,42
UDN_BG_A_C_Mayo011_pool_M_001 & 34,41
UDN_BG_A_C_Mayo011_pool_M_001 & 35,41
UDN_BG_A_C_Mayo011_pool_M_001 & 36,40
UDN_BG_A_C_Mayo011_pool_M_001 & 37,37
UDN_BG_A_C_Mayo011_pool_M_001 & 38,37
UDN_BG_A_C_Mayo011_pool_M_001 & 39,40
UDN_BG_A_C_Mayo011_pool_M_001 & 4,1
UDN_BG_A_C_Mayo011_pool_M_001 & 40,48
UDN_BG_A_C_Mayo011_pool_M_001 & 41,50
UDN_BG_A_C_Mayo011_pool_M_001 & 42,55
UDN_BG_A_C_Mayo011_pool_M_001 & 43,54
